cost,lambda,model,penalty,scenarios,status,time
6.606067886694406e7,0,PI,0.0,200,OPTIMAL,963.6898286
6.657832160818906e7,0,LDR0,0.0,200,OPTIMAL,16742.5853467
6.545013036662407e7,0,PWL,42112.08779699509,200,OPTIMAL,4772.0193072
6.657832160818906e7,1,LDR,0.0,200,OPTIMAL,16742.5853467
6.545013036662407e7,1,PWL,42112.08779699509,200,OPTIMAL,4772.0193072
6.657832160818906e7,1000,LDR,0.0,200,OPTIMAL,16742.5853467
