g,r_up,r_dn,γ,γ_RT,δ,δ_RT,Δ
358.9604197905019,78.46542739596221,14.489615822658118,0.0,0.0,0.0,0.0,63.9758115733041
307.66698813034606,89.44329514888835,1.2614528111382313,0.0,0.0,0.0,0.0,88.18184233775013
260.1149504615329,191.6929282742916,77.7718502829421,0.0,0.0,0.0,0.0,115.16171044913763
242.07511537057076,241.0904500746323,66.47979135877299,1.6358327417855594,0.0,0.0,0.0,109.56314358834152
275.2356161798338,261.72183470675344,79.53339517238732,0.0,0.0,0.0,0.0,80.91674314041381
331.2461092747998,164.8259047644459,136.57939079457805,8.144534110033716,0.0,0.0,0.0,66.23079310734506
401.4583412464078,128.20394695170208,213.725621178567,23.13587167178109,0.0,0.0,0.0,71.57492777769309
399.477077042783,187.15075354115376,309.3521211204425,9.32049085274546,0.0,0.0,0.0,55.47129805481738
444.5723950799982,160.99532081073716,328.8492169289336,6.505008743467508,0.0,0.0,0.0,52.909099604823176
509.7591277283476,72.58713815984798,458.383695819204,64.22200136525808,0.0,0.0,0.0,21.177563621833293
464.0858347761749,274.13116235094515,297.88164356904974,5.956316467949318,0.0,0.0,0.0,56.51595227397612
497.64696043629,161.55932699661304,435.17576725056705,27.868556493694577,0.0,0.0,0.0,41.220248291349726
462.8818261230893,78.09634632832731,342.20536695707233,27.86014187711449,0.0,0.0,0.0,33.42477578111451
495.57334816798937,180.41282187252276,271.817676043259,0.6908841334457569,0.0,0.0,0.0,60.11601475461938
493.7546063941926,209.7373414214398,366.9248562578307,8.987054863272526,0.0,0.0,0.0,57.873853994101786
553.1225184856858,60.61971113200921,351.160476577449,27.985088675813007,0.0,0.0,0.0,30.24448816174712
590.4873526586587,7.30249202089248,484.524956503288,71.87776692756844,0.0,0.0,0.0,-7.301335898372315
571.4550661612814,159.991238016101,252.94313678808493,0.44321905747209467,0.0,0.0,0.0,52.9215828696101
692.2635601910268,0.4206012636318789,244.73320430723533,66.21804532410161,0.0,0.0,0.0,-18.883540555539177
624.8697559505379,210.66463068975781,179.5150929646384,0.43161524515054434,0.0,0.0,0.0,28.146469836740568
611.9118514131046,133.77017437813336,255.78278018323917,9.659420420667928,0.0,0.0,0.0,26.279255545628466
584.7104866932507,109.69692205901876,262.6639102876362,27.297701645235957,0.0,0.0,0.0,59.673377767290205
497.6221229828552,187.33717652749496,262.0040074620653,1.0027821332308284,0.0,0.0,0.0,62.00954914944102
412.61345342698314,164.24218080886652,132.513191625746,15.636456064189009,0.0,0.0,0.0,76.56371870661665
