g,r_up,r_dn,γ,γ_RT,δ,δ_RT,Δ
358.9604197905019,78.46542739596961,14.489615822658157,0.0,0.0,0.0,0.0,63.97581157331145
307.6669881303472,89.44329514888855,1.2614528111382797,0.0,0.0,0.0,0.0,88.18184233775028
260.11495046153726,118.76003687199318,3.5983264228623484,0.0,0.0,0.0,0.0,115.16171044913085
240.43928262878634,114.45530190431899,3.2563255741931356,0.0,0.0,0.0,0.0,111.19897633012586
275.23561617983535,88.64899601439306,7.732252873978718,0.0,0.0,0.0,0.0,80.91674314041434
323.10157516476613,84.53939209110797,10.16406487372662,0.0,0.0,0.0,0.0,74.37532721738137
378.32246957463417,97.10897007121504,2.398170621741703,0.0,0.0,0.0,0.0,94.71079944947334
390.1565861900403,67.29232227886283,2.5005333712982205,0.0,0.0,0.0,0.0,64.79178890756461
438.06738633653123,65.07017278299564,5.656064434705073,0.0,0.0,0.0,0.0,59.41410834829056
445.53712636309217,85.43599064158572,0.03642565449004849,0.0,0.0,0.0,0.0,85.39956498709566
458.12951830823306,73.34066206494293,10.86839332301885,0.0,0.0,0.0,0.0,62.472268741924076
469.7784039425968,82.74453231172883,13.65572752668387,0.0,0.0,0.0,0.0,69.08880478504497
435.0216842459742,67.4460963003581,6.161178642121749,0.0,0.0,0.0,0.0,61.284917658236374
494.8824640345497,72.72270747178646,11.915808583719201,0.0,0.0,0.0,0.0,60.806898888067245
484.76755153092654,78.52508411743509,11.664175260052199,0.0,0.0,0.0,0.0,66.86090885738288
525.1374298098777,69.08992901902842,10.860352181472035,0.0,0.0,0.0,0.0,58.22957683755639
518.6095857310781,67.67732736226307,3.1008963330541635,0.0,0.0,0.0,0.0,64.57643102920892
571.011847103814,61.844407490852916,8.47960556377492,0.0,0.0,0.0,0.0,53.364801927078
626.045514866936,66.63864658773585,19.304141819176063,0.0,0.0,0.0,0.0,47.33450476855977
624.4381407054009,53.28033420913166,24.70224912725415,0.0,0.0,0.0,0.0,28.57808508187752
602.2524309924459,64.93209955041789,28.993423584127925,0.0,0.0,0.0,0.0,35.93867596628996
557.4127850480274,92.61101238642154,5.63993297390144,0.0,0.0,0.0,0.0,86.9710794125201
496.6193408496274,71.34831496758005,8.335983684910738,0.0,0.0,0.0,0.0,63.01233128266932
396.9769973627995,104.14938201089873,11.949207240097284,0.0,0.0,0.0,0.0,92.20017477080145
