g,r_up,r_dn,γ,γ_RT,δ,δ_RT,Δ
308.80748881269994,132.18623270472293,2.665191067918697,0.0,0.0,0.0,0.0,129.52104163680423
255.68943575058537,99.41044915880026,13.596537050988587,0.0,0.0,0.0,0.0,85.81391210781166
346.0008882118293,188.42932083953275,77.77185028294696,126.19367258042296,15.438685487447037,0.0,0.0,30.000999330766557
298.1417360543631,241.09045007462345,66.47979135877333,83.75408398664932,3.590596364440233,2.864890842115885,0.0,61.63615942439792
257.7292846636181,260.60091219600963,79.03416922965229,73.34625148214275,9.146788589063416,2.3485353227472334,0.0,77.06501020403789
400.660230856244,160.67911786807173,136.57939079457734,129.68854746800739,22.053785693755565,0.0,0.0,-0.35102555543001535
571.589122228001,125.64916031353637,213.72562117856887,238.94301027306682,10.507602061319577,0.7031974601168536,0.0,-72.19724036994754
559.5541842847475,187.15075354115336,309.3521211204423,201.51141150687073,27.090250615724937,0.0,0.0,-80.81760192941456
622.6938865850582,160.53207777848218,328.8492169289354,184.4157901147613,8.23561094489102,0.2882111069664638,0.0,-117.79537249066098
714.1375641607449,73.12074256598302,462.90874616609455,363.2634760132895,14.096199663384706,0.0,0.0,-228.29793689563363
619.3877273333215,274.13116235094196,297.88164356904883,163.94454381351454,4.255623466689582,2.792165556395225,0.0,-104.11637020465363
733.8648828325593,161.5593269966103,435.1757672505679,233.2663035621505,11.607483552120033,0.0,0.0,-170.4169728477587
700.3849701188442,75.38818988921489,342.2053669570698,255.42248143555952,10.518080270499748,0.0,0.0,-185.89297448455443
674.5626591684604,180.4128218725194,271.81767604327393,222.40029368805284,10.139763858580082,5.907662546279495,0.0,-117.01287730689151
688.8670050699286,209.73734142143934,366.9248562578305,229.22947239239642,25.139269198329554,0.0,0.0,-85.3751954331792
741.7848879607387,59.932005422998444,351.16047657744855,228.9351993924041,19.045879911117044,0.5305746728778493,0.0,-146.25675650548772
857.3570184951692,7.851049255171233,484.5249565032922,312.5906230620607,10.31267845429318,0.0,0.0,-275.99532034204094
739.7054048556818,159.9912380160833,252.94313678808885,136.23940276712776,6.067011637189898,5.022605646012993,0.0,-68.49269601393353
864.7597492561279,-1.1151718437574233e-12,244.73320430723734,163.19644904119355,11.15066503019161,4.265946610448736,0.0,-144.73784322638778
754.4700880893164,206.48759717106412,179.51509296463664,94.4005014775973,10.835131909527703,0.0,0.0,-46.760389544725896
748.4160529465814,127.35047663984633,255.78278018323994,131.18418844471793,6.706039892130275,0.6415521683925522,0.0,-107.79019052263595
768.5185691254857,109.69692205895902,262.663910287603,154.08672081789754,12.536994354837702,0.0,0.0,-108.72969323621005
634.5082945573583,187.33717652743653,262.00400746206293,166.84969828055043,17.555838199343935,0.0,0.0,-106.4285597371472
580.7822287348591,164.24218080879936,131.07820005761147,143.8163108299562,10.316582030980658,0.0,0.0,-22.869919357720715
