hour,demand_mw
00:00:00.0,7504.97580273669
01:00:00.0,7368.138950681891
02:00:00.0,7217.398613696032
03:00:00.0,7072.715846572386
04:00:00.0,6959.681479449241
05:00:00.0,6854.413189037911
06:00:00.0,6565.614468490109
07:00:00.0,6501.3070438322475
08:00:00.0,6715.614364380388
09:00:00.0,6824.939602368523
10:00:00.0,6894.061188534632
11:00:00.0,6900.651652051481
12:00:00.0,6886.955194517039
13:00:00.0,7115.139767119622
14:00:00.0,7353.995657531283
15:00:00.0,7410.73540547619
16:00:00.0,7333.007660270555
17:00:00.0,7148.161813694904
18:00:00.0,7146.114947942383
19:00:00.0,7352.8723287640505
20:00:00.0,7424.612334243666
21:00:00.0,7550.63978081855
22:00:00.0,7644.55490684578
23:00:00.0,7617.044813695043
