hour,demand_mw
00:00:00.0,39144.86142739202
01:00:00.0,37262.27110136514
02:00:00.0,36067.47171506377
03:00:00.0,35426.137956159626
04:00:00.0,35410.72242191317
05:00:00.0,36154.073852050016
06:00:00.0,37457.56500821445
07:00:00.0,39117.49763561169
08:00:00.0,40903.27436163871
09:00:00.0,41922.95969764792
10:00:00.0,42783.12373772994
11:00:00.0,43221.06933698133
12:00:00.0,42965.09306574873
13:00:00.0,43598.41578355745
14:00:00.0,44264.571391776466
15:00:00.0,44767.10899177618
16:00:00.0,45268.8486657489
17:00:00.0,45348.54766574906
18:00:00.0,47282.56647396868
19:00:00.0,47788.93652602281
20:00:00.0,47105.36284383138
21:00:00.0,46136.84583013259
22:00:00.0,44138.896884926704
23:00:00.0,41607.60993424202
