hour,demand_mw
00:00:00.0,11260.10265208326
01:00:00.0,10621.825912196846
02:00:00.0,10218.438701577881
03:00:00.0,10040.550169905653
04:00:00.0,10040.325975239126
05:00:00.0,10395.658038256004
06:00:00.0,11191.08462976304
07:00:00.0,12135.536048996528
08:00:00.0,12871.373024816796
09:00:00.0,13024.723867055629
10:00:00.0,13313.289801629284
11:00:00.0,13393.8256191623
12:00:00.0,12571.834824833424
13:00:00.0,12993.826364608385
14:00:00.0,13335.713142093415
15:00:00.0,13493.06675382327
16:00:00.0,13808.955687434081
17:00:00.0,13997.55443272983
18:00:00.0,14479.510964370244
19:00:00.0,14780.965315097126
20:00:00.0,14365.40725219795
21:00:00.0,13909.418109509828
22:00:00.0,13186.629646759606
23:00:00.0,12175.943666213481
