hour,val_cargaenergiahomwmed_mean,val_cargaenergiahomwmed_std
00:00:00.0,40378.01782953964,2645.75598379306
01:00:00.0,38534.78797726782,2446.6893557958733
02:00:00.0,37312.39629544956,2350.4883384131836
03:00:00.0,36634.60977272272,2320.3567582816804
04:00:00.0,36517.508636359074,2315.4585380828103
05:00:00.0,36908.213511358415,2667.8284330427095
06:00:00.0,37415.4362613592,3264.3198142026845
07:00:00.0,38655.48519317725,3838.135059162692
08:00:00.0,39954.37024999533,4449.605569770249
09:00:00.0,40519.694715903745,4718.198466707344
10:00:00.0,40946.10967045,4875.608405540051
11:00:00.0,41177.93911363114,4794.083807018152
12:00:00.0,41071.08039772305,4568.456271193115
13:00:00.0,42020.98149999522,5021.337422990555
14:00:00.0,43074.91347726899,5410.9413842277
15:00:00.0,43956.37840908649,5367.570536358624
16:00:00.0,44746.695909086586,4863.33319393883
17:00:00.0,44594.262886359094,3591.0914396798867
18:00:00.0,45712.660715905,2936.3757795686606
19:00:00.0,48075.68399999579,2693.4420447354523
20:00:00.0,47847.13493181432,2685.2884409325825
21:00:00.0,46888.436136359414,2912.7730104260445
22:00:00.0,44996.95172726921,2878.3625859202366
23:00:00.0,42659.43381817671,2725.066828632817
