hour,val_cargaenergiahomwmed_mean,val_cargaenergiahomwmed_std
00:00:00.0,36363.16686169661,2708.021904512208
01:00:00.0,34431.42457446309,2545.2012113085307
02:00:00.0,33276.08923403777,2425.076543853545
03:00:00.0,32716.991595739797,2340.697256844347
04:00:00.0,32828.92977659139,2325.978352107
05:00:00.0,33986.39908510161,2536.977131454706
06:00:00.0,35717.6383085053,3099.358919370695
07:00:00.0,37539.24601063265,3687.595077829263
08:00:00.0,39459.87001063266,4084.607321644381
09:00:00.0,40688.010414888726,4165.069097794088
10:00:00.0,41766.51614893171,4326.407758373232
11:00:00.0,42233.019627654045,4263.864200329052
12:00:00.0,41869.676329782,4018.1610807643715
13:00:00.0,42321.7263085064,4542.744135853678
14:00:00.0,42778.56726595276,5018.000695138893
15:00:00.0,43108.11622339925,5008.309691061348
16:00:00.0,43622.26143616426,4517.345422080069
17:00:00.0,44252.23181914438,3069.515809590988
18:00:00.0,47125.84468084713,2418.348384942292
19:00:00.0,46539.79117020787,2632.0369849499434
20:00:00.0,45438.33214893255,2923.7768887795546
21:00:00.0,44206.5761808467,3183.3063856090134
22:00:00.0,41938.86625531393,3176.6399374977605
23:00:00.0,39115.973340421086,3001.8518944640455
