hour,val_cargaenergiahomwmed_mean,val_cargaenergiahomwmed_std
00:00:00.0,43028.52593332833,3551.059599639356
01:00:00.0,41086.862533328895,3474.4731253881873
02:00:00.0,39768.27227777322,3341.862319982063
03:00:00.0,38980.022644439334,3192.244879740976
04:00:00.0,38790.41016666221,3091.9140911698764
05:00:00.0,38958.09737777302,3018.0749817241453
06:00:00.0,40396.605733328324,3490.0707782676736
07:00:00.0,42893.083633329334,4249.295561079879
08:00:00.0,45583.70454443967,5048.183423452744
09:00:00.0,47248.647140475914,5350.915730229208
10:00:00.0,48478.708369697124,5517.162880822714
11:00:00.0,49098.11104444022,5419.5458900467065
12:00:00.0,48853.08305555101,5213.574900843709
13:00:00.0,49384.10839999634,5776.2917370131645
14:00:00.0,49736.04651110733,6188.077019578218
15:00:00.0,49725.419277773115,6081.02011494664
16:00:00.0,49382.91402221766,5460.3735696541235
17:00:00.0,48120.39633332946,3931.4389608598035
18:00:00.0,49095.649655551555,2902.345149159088
19:00:00.0,50017.233055550554,3000.6783110072674
20:00:00.0,49720.25564443957,3249.2879445708327
21:00:00.0,49212.92058888367,3568.7648141338823
22:00:00.0,47651.12496666145,3647.108029664538
23:00:00.0,45386.450799995786,3600.771546313959
