hour,demand_mw
00:00:00.0,12436.421712324776
01:00:00.0,12082.814317803723
02:00:00.0,11816.207383557263
03:00:00.0,11629.206843831906
04:00:00.0,11507.493698626382
05:00:00.0,11120.186884926572
06:00:00.0,10793.274084927034
07:00:00.0,11128.71275068049
08:00:00.0,11554.604761639584
09:00:00.0,11667.790959374117
10:00:00.0,11797.072714663838
11:00:00.0,11819.604372598407
12:00:00.0,11619.13943287247
13:00:00.0,11876.707309585
14:00:00.0,12229.907189037123
15:00:00.0,12436.009895886553
16:00:00.0,12504.640890407263
17:00:00.0,12502.310460270333
18:00:00.0,13045.523572598793
19:00:00.0,12990.463090406703
20:00:00.0,12908.882627393254
21:00:00.0,13240.70958903674
22:00:00.0,13217.87176711913
23:00:00.0,12881.540898625975
