hour,val_cargaenergiahomwmed_mean,val_cargaenergiahomwmed_std
00:00:00.0,37031.22401074807,2890.793982194149
01:00:00.0,35218.237333328805,2774.028362993992
02:00:00.0,34129.45601074806,2678.4946364441917
03:00:00.0,33581.67146236117,2616.812971516048
04:00:00.0,33702.32913977978,2594.1785080451577
05:00:00.0,34917.891279565476,2801.5678578827683
06:00:00.0,36411.831397845264,3439.2359860130914
07:00:00.0,37496.09987096302,3940.650699320564
08:00:00.0,38730.638387091385,4306.08674346534
09:00:00.0,39345.117559135484,4385.911501293429
10:00:00.0,40037.05636558612,4463.3323443959225
11:00:00.0,40465.5680322532,4362.41165244036
12:00:00.0,40166.417677414516,3985.512087882083
13:00:00.0,40782.401720425914,4400.4277382717055
14:00:00.0,41597.27594623129,4860.5607093700155
15:00:00.0,42412.718516124514,4873.512729713971
16:00:00.0,43445.8675913944,4441.181825483761
17:00:00.0,44487.949494619155,2974.8701713545806
18:00:00.0,47171.87904300688,2276.6994104799323
19:00:00.0,46623.76661289893,2634.754611504899
20:00:00.0,45557.88531182334,2883.707831118682
21:00:00.0,44399.84230107152,3136.117995182532
22:00:00.0,42151.73049461837,3124.131198186389
23:00:00.0,39473.8213333288,3020.6675652668496
